year,quarter,construction_price_index_residential,base_year,yoy_change_pct,source_url
2021,Q1,95.0,2021,NA,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2021,Q2,98.7,2021,NA,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2021,Q3,102.1,2021,NA,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2021,Q4,104.2,2021,NA,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2022,Q1,108.8,2021,14.5,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2022,Q2,115.9,2021,17.4,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2022,Q3,118.9,2021,16.5,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2022,Q4,121.7,2021,16.8,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2023,Q1,125.0,2021,14.9,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2023,Q2,126.0,2021,8.7,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2023,Q3,126.4,2021,6.3,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2023,Q4,126.9,2021,4.3,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2024,Q1,128.5,2021,2.8,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2024,Q2,129.4,2021,2.7,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2024,Q3,130.3,2021,3.1,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2024,Q4,130.8,2021,3.1,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2025,Q1,132.6,2021,3.2,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2025,Q2,133.6,2021,3.2,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2025,Q3,134.3,2021,3.1,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2025,Q4,135.0,2021,3.2,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
2026,Q1,137.0,2021,3.3,https://www.destatis.de/EN/Themes/Economy/Short-Term-Indicators/Prices/bpr110.html
