year,occupation_code,occupation_name,open_vacancies,vacancy_ratio,employed_total,note,source_url
2015,2421,Anlagenmechaniker SHK,8200,180,360000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2016,2421,Anlagenmechaniker SHK,9100,195,362000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2017,2421,Anlagenmechaniker SHK,10800,220,365000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2018,2421,Anlagenmechaniker SHK,12500,255,370000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2019,2421,Anlagenmechaniker SHK,14200,290,375000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2020,2421,Anlagenmechaniker SHK,11500,230,368000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2021,2421,Anlagenmechaniker SHK,13800,270,372000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2022,2421,Anlagenmechaniker SHK,17600,340,380000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2023,2421,Anlagenmechaniker SHK,19200,360,385000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
2024,2421,Anlagenmechaniker SHK,20500,375,388000,calibrated from BA Fachkräfteengpassanalyse; vacancy_ratio = vacancies per 100 unemployed in occupation,https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Fachstatistiken/Gemeldete-Arbeitsstellen/Gemeldete-Arbeitsstellen-Nav.html
