"year","scenario","w_SHK","w_GJG","w_semi","N_SHK_sup","N_SHK_dem","N_GJG","Q","Q_demand","p_install","pi_sector","L_gap","CR","r_loan","def_G","wage_share"
2025,"Baseline",27.2228571428571,0,12,45000,65000,0,299000,431888.888888889,18772.8428093645,0.031,20000,0.08,0.045,0,0.482943410747753
2026,"Baseline",27.7328658773333,0,12.0114816,45900,66170,0,304980,439662.888888889,19142.596196602,0.019696185121894,20270,0.0575999999999999,0.0422,0,0.480726860882256
2027,"Baseline",28.2508876358135,0,12.0236672000373,46818,67953.9432,0,311079.6,451516.200373333,19520.2934587769,0.0197307229539698,21135.9432,0.0199039999999999,0.037488,0,0.478513365892096
2028,"Baseline",28.7913741028079,0,12.0365770095862,47754.36,70810.6182458189,0,317301.192,470497.219011108,19910.2624890601,0.0199776212948219,23056.2582458189,0,0.035,0,0.47639319831318
2029,"Baseline",29.380044826081,0,12.0502228750161,48709.4472,74351.1491581098,0,323647.21584,494022.079961663,20320.097641474,0.0205841159873741,25641.7019581098,0,0.035,0,0.474520993099135
2030,"Baseline",30.0337673125749,0,12.064607224134,49683.636144,78068.7066160153,0,330120.1601568,518723.183959746,20754.8305808829,0.021394234765957,28385.0704720153,0,0.035,0,0.47298685765808
2031,"Baseline",30.7577718575587,0,12.0797326202805,50677.30886688,81972.1419468161,0,336722.563359936,544659.343157734,21216.1251240865,0.022225888156781,31294.8330799361,0,0.035,0,0.471803360519167
2032,"Baseline",31.5579340212562,0,12.095601763091,51690.8550442176,86070.7490441569,0,343457.014627135,571892.31031562,21705.8357567885,0.0230820015359956,34379.8939999393,0,0.035,0,0.47098356616717
2033,"Baseline",32.4408599071224,0,12.1122174892977,52724.672145102,90374.2864963648,0,350326.154919677,600486.925831401,22226.0324327385,0.0239657519654506,37649.6143512628,0,0.035,0,0.470541059513534
2034,"Baseline",33.4128913999273,0,12.1291745937827,53779.165588004,94893.000821183,0,357332.678018071,630511.272122972,22778.6415169126,0.0248631457659552,41113.835233179,0,0.035,0,0.470482498129995
2025,"Scenario A",27.2228571428571,12.82,12,45000,65000,13500,325910,431888.888888889,17949.3970728115,0.031,15950,0.08,0.045,0.227154375,0.46339348719155
2026,"Scenario A",27.8612401693968,13.1405,12.5759908,45900,66170,14783.0625,334447.57125,439662.888888889,18374.1100652681,0.0236616857231304,15835.08125,0.0575999999999999,0.0422,0.254962093025391,0.462810791530267
2027,"Scenario A",28.4465074632657,13.4690125,13.0288807961813,46818,67953.9432,14458.6356368836,339900.480369521,451516.200373333,18860.8601144802,0.0264910816079305,16798.3525089349,0.0199039999999999,0.037488,0.255600901665546,0.463459058317191
2028,"Scenario A",29.0414088933121,13.8057378125,13.4243038579538,47754.36,70810.6182458189,14304.9478604007,345815.721401732,470497.219011108,19337.752184693,0.025284746682718,18764.7738876987,0,0.035,0.259206096951605,0.463582821195388
2029,"Scenario A",29.6906808935434,14.1508812578125,13.7952021234511,48709.4472,74351.1491581098,14230.6743799814,352013.69343743,494022.079961663,19827.0151499658,0.025300922289206,21372.4996441154,0,0.035,0.264306765672747,0.463713576284704
2030,"Scenario A",30.4215462674905,14.5046532892578,14.1581613716382,49683.636144,78068.7066160153,14194.2696926571,358414.071077497,518723.183959746,20341.0501803457,0.0259259917083792,24126.7895642182,0,0.035,0.270221385769402,0.464115569918369
2031,"Scenario A",31.243439439797,14.8672696214892,14.5215905388869,50677.30886688,81972.1419468161,14176.1443892118,364980.344509098,544659.343157734,20885.0520625052,0.0267440411058577,27041.9897631725,0,0.035,0.276623236086192,0.464871410957168
2032,"Scenario A",32.1657216319538,15.2389513620265,14.8898094560404,51690.8550442176,86070.7490441569,14166.8946549933,371696.357972755,571892.31031562,21462.9964309704,0.0276726324040515,30129.8256034413,0,0.035,0.283353811910394,0.466026677126363
